Function Name,Exclusive Samples,Exclusive Samples %,Inclusive Samples,Inclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"System.Windows.Controls.TextBoxLine.HandleText(valuetype System.Windows.Documents.StaticTextPointer)",1,"0,11",1,"0,11",0,0,0,0,
"System.Windows.DependencyObject.CheckEntryIndex(valuetype System.Windows.EntryIndex,int32)",1,"0,11",1,"0,11",0,0,0,0,
"System.Windows.DependencyObject.get_InheritanceParent()",1,"0,11",1,"0,11",0,0,0,0,
"System.Windows.DependencyObject.InvalidateSubProperty(class System.Windows.DependencyProperty)",1,"0,11",1,"0,11",0,0,0,0,
"System.Windows.DependencyObject.UpdateEffectiveValue(valuetype System.Windows.EntryIndex,class System.Windows.DependencyProperty,class System.Windows.PropertyMetadata,valuetype System.Windows.EffectiveValueEntry,valuetype System.Windows.EffectiveValueEntry&,bool,bool,valuetype System.Windows.OperationType)",1,"0,11",54,"5,68",0,0,0,0,
"System.Windows.DependencyProperty.get_IsStringType()",1,"0,11",1,"0,11",0,0,0,0,
"System.Windows.DescendentsWalker`1._VisitNode(class System.Windows.DependencyObject,bool)",1,"0,11",22,"2,32",0,0,0,0,
"System.Windows.EventRoute.AddSource(object)",1,"0,11",3,"0,32",0,0,0,0,
"System.Windows.EventRoute.PeekBranchSource()",1,"0,11",1,"0,11",0,0,0,0,
"System.Windows.EventRoute.PopBranchNode()",1,"0,11",1,"0,11",0,0,0,0,
"System.Windows.EventRoute.PushBranchNode(object,object)",1,"0,11",1,"0,11",0,0,0,0,
"System.Windows.FrameworkElement.AddStyleHandlersToEventRoute(class System.Windows.EventRoute,class System.Windows.DependencyObject,valuetype System.Windows.RoutedEventHandlerInfo[])",1,"0,11",1,"0,11",0,0,0,0,
"System.Windows.FrameworkElement.AdjustEventSource(class System.Windows.RoutedEventArgs)",1,"0,11",2,"0,21",0,0,0,0,
"System.Windows.FrameworkElement.ApplyTemplate()",1,"0,11",15,"1,58",0,0,0,0,
"System.Windows.FrameworkElement.BuildRouteCoreHelper(class System.Windows.EventRoute,class System.Windows.RoutedEventArgs,bool)",1,"0,11",12,"1,26",0,0,0,0,
"System.Windows.FrameworkElement.FindTemplateResourceInTree(class System.Windows.DependencyObject,class System.Collections.ArrayList,int32,int32&)",1,"0,11",1,"0,11",0,0,0,0,
"System.Windows.FrameworkElement.get_TemplateChildIndex()",1,"0,11",1,"0,11",0,0,0,0,
"System.Windows.FrameworkElement.get_VisualChildrenCount()",1,"0,11",1,"0,11",0,0,0,0,
"System.Windows.FrameworkElement.GetFrameworkParent(class System.Windows.FrameworkElement,class System.Windows.FrameworkElement&,class System.Windows.FrameworkContentElement&)",1,"0,11",1,"0,11",0,0,0,0,
"System.Windows.FrameworkElement.OnPropertyChanged(valuetype System.Windows.DependencyPropertyChangedEventArgs)",1,"0,11",31,"3,26",0,0,0,0,
"System.Windows.FrameworkElement.UpdateStyleProperty()",1,"0,11",9,"0,95",0,0,0,0,
"System.Windows.Freezable.get_SingletonContext()",1,"0,11",1,"0,11",0,0,0,0,
"System.Windows.Freezable.ReadPreamble()",1,"0,11",1,"0,11",0,0,0,0,
"System.Windows.Input.InputElement.GetRootVisual(class System.Windows.DependencyObject,bool)",1,"0,11",2,"0,21",0,0,0,0,
"System.Windows.Input.InputElement.IsValid(class System.Windows.IInputElement)",1,"0,11",1,"0,11",0,0,0,0,
"System.Windows.Input.InputManager.RaiseProcessInputEventHandlers(class System.Windows.Input.ProcessInputEventHandler,class System.Windows.Input.ProcessInputEventArgs)",1,"0,11",45,"4,74",0,0,0,0,
"System.Windows.Input.KeyboardNavigation.ExtractRawUIStateInputReport(class System.Windows.Input.InputEventArgs,class System.Windows.RoutedEvent)",1,"0,11",1,"0,11",0,0,0,0,
"System.Windows.Input.MouseDevice.PreNotifyInput(object,class System.Windows.Input.NotifyInputEventArgs)",1,"0,11",16,"1,68",0,0,0,0,
"System.Windows.Input.MouseDevice.PreProcessInput(object,class System.Windows.Input.PreProcessInputEventArgs)",1,"0,11",1,"0,11",0,0,0,0,
"System.Windows.Input.RoutedCommand.CriticalCanExecute(object,class System.Windows.IInputElement,bool,bool&)",1,"0,11",9,"0,95",0,0,0,0,
