Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"MS.Internal.DoubleUtil.RectHasNaN(valuetype System.Windows.Rect)",1,"0,11",0x6A4FFEA1,0,0,0,0,
"MS.Internal.FontCache.Util.get_Dpi()",1,"0,11",0x61B8C444,0,0,0,0,
"MS.Internal.FontCache.Util.get_Dpi()",1,"0,11",0x61B8C45F,0,0,0,0,
"MS.Internal.FontCache.Util.get_Dpi()",1,"0,11",0x61B8C464,0,0,0,0,
"MS.Internal.FontCache.Util.get_PixelsPerDip()",1,"0,11",0x61BA2C81,0,0,0,0,
"MS.Internal.FrameworkObject..ctor(class System.Windows.DependencyObject)",1,"0,11",0x5ED5E55C,0,0,0,0,
"MS.Internal.FrameworkObject.Reset(class System.Windows.DependencyObject)",1,"0,11",0x5ED5F17E,0,0,0,0,
"MS.Internal.Invariant.Assert(bool,string)",1,"0,11",0x6A4F0046,0,0,0,0,
"MS.Internal.MatrixUtil.MultiplyMatrix(valuetype System.Windows.Media.Matrix&,valuetype System.Windows.Media.Matrix&)",1,"0,11",0x6A4FAECC,0,0,0,0,
"MS.Internal.Media.VisualTreeUtils.AsVisual(class System.Windows.DependencyObject,class System.Windows.Media.Visual&,class System.Windows.Media.Media3D.Visual3D&)",1,"0,11",0x61B8DEE5,0,0,0,0,
"MS.Internal.Text.DynamicPropertyReader.GetTypeface(class System.Windows.DependencyObject)",1,"0,11",0x5ED99C1E,0,0,0,0,
"MS.Internal.Text.SimpleLine.GetTextRun(int32)",1,"0,11",0x5ED49C33,0,0,0,0,
"MS.Internal.Text.TextInterface.Factory.GetIdentityTransform()",1,"0,11",0x61BC6363,0,0,0,0,
"MS.Internal.Text.TextInterface.Font.DisplayMetrics(float32,float32)",1,"0,11",0x61BE1E5D,0,0,0,0,
"MS.Internal.Text.TextInterface.Font.GetFontFace()",1,"0,11",0x61B9F18D,0,0,0,0,
"MS.Internal.Text.TextProperties.get_FontRenderingEmSize()",1,"0,11",0x5ED9A18E,0,0,0,0,
"MS.Internal.TextFormatting.SimpleRun.get_Height()",1,"0,11",0x61B83A4B,0,0,0,0,
"MS.Internal.TextFormatting.TextFormatterImp.RoundDipForDisplayMode(float64,valuetype System.MidpointRounding)",1,"0,11",0x61BE1D64,0,0,0,0,
"MS.Internal.TextFormatting.TextFormatterImp.RoundDipForDisplayMode(float64,valuetype System.MidpointRounding)",1,"0,11",0x61BE1D8B,0,0,0,0,
"MS.Internal.TextFormatting.TextFormatterImp.VerifyTextFormattingArguments(class System.Windows.Media.TextFormatting.TextSource,int32,float64,class System.Windows.Media.TextFormatting.TextParagraphProperties,class System.Windows.Media.TextFormatting.TextRunCache)",1,"0,11",0x61B9BB9A,0,0,0,0,
"MS.Internal.TextFormatting.TextStore.FetchLSRun(int32,valuetype System.Windows.Media.TextFormattingMode,bool,valuetype MS.Internal.TextFormatting.Plsrun&,int32&,int32&)",1,"0,11",0x61BBB74B,0,0,0,0,
"MS.Internal.TextServicesLoader.get_ServicesInstalled()",1,"0,11",0x6A4FA8C1,0,0,0,0,
"MS.Internal.TraceRoutedEvent.get_IsEnabled()",1,"0,11",0x61B98576,0,0,0,0,
"MS.Internal.UIElementHelper.IsVisible(class System.Windows.DependencyObject)",1,"0,11",0x61B9720F,0,0,0,0,
