Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"System.Windows.EventRouteFactory.Push(class System.Windows.EventRoute)",2,1,"0,21","0,11",
"System.Windows.FrameworkElement.AddStyleHandlersToEventRoute(class System.Windows.EventRoute,class System.Windows.DependencyObject,valuetype System.Windows.RoutedEventHandlerInfo[])",1,1,"0,11","0,11",
"System.Windows.FrameworkElement.ArrangeCore(valuetype System.Windows.Rect)",22,1,"2,32","0,11",
"System.Windows.FrameworkElement.FindTemplateResourceInTree(class System.Windows.DependencyObject,class System.Collections.ArrayList,int32,int32&)",1,1,"0,11","0,11",
"System.Windows.FrameworkElement.get_TemplateChildIndex()",1,1,"0,11","0,11",
"System.Windows.FrameworkElement.get_VisualChildrenCount()",1,1,"0,11","0,11",
"System.Windows.FrameworkElement.GetFrameworkParent(class System.Windows.FrameworkElement,class System.Windows.FrameworkElement&,class System.Windows.FrameworkContentElement&)",1,1,"0,11","0,11",
"System.Windows.FrameworkElement.OnPropertyChanged(valuetype System.Windows.DependencyPropertyChangedEventArgs)",31,1,"3,26","0,11",
"System.Windows.FrameworkElement.UpdateStyleProperty()",9,1,"0,95","0,11",
"System.Windows.Freezable.ReadPreamble()",1,1,"0,11","0,11",
"System.Windows.Input.InputElement.GetRootVisual(class System.Windows.DependencyObject,bool)",2,1,"0,21","0,11",
"System.Windows.Input.MouseDevice.PreProcessInput(object,class System.Windows.Input.PreProcessInputEventArgs)",1,1,"0,11","0,11",
"System.Windows.Input.StylusLogic.PreProcessInput(object,class System.Windows.Input.PreProcessInputEventArgs)",1,1,"0,11","0,11",
"System.Windows.Interop.HwndSource.HwndTargetFilterMessage(native int,int32,native int,native int,bool&)",5,1,"0,53","0,11",
"System.Windows.Interop.HwndTarget.HandleMessage(valuetype MS.Internal.Interop.WindowMessage,native int,native int)",4,1,"0,42","0,11",
"System.Windows.LogicalTreeHelper.GetParent(class System.Windows.DependencyObject)",1,1,"0,11","0,11",
"System.Windows.Media.Animation.Clock.ComputeCurrentState(valuetype System.Nullable`1<valuetype System.TimeSpan>,valuetype System.TimeSpan&,float64,bool)",2,1,"0,21","0,11",
"System.Windows.Media.Animation.Clock.ComputeEvents(valuetype System.Nullable`1<valuetype System.TimeSpan>,valuetype System.Windows.Media.Animation.TimeIntervalCollection)",12,1,"1,26","0,11",
"System.Windows.Media.Animation.ClockGroup.ComputeTreeStateRoot()",1,1,"0,11","0,11",
"System.Windows.Media.Animation.TimeIntervalCollection.IntersectsHelper(valuetype System.Windows.Media.Animation.TimeIntervalCollection)",1,1,"0,11","0,11",
"System.Windows.Media.Animation.TimeIntervalCollection.IntersectsInverseOf(valuetype System.Windows.Media.Animation.TimeIntervalCollection)",2,1,"0,21","0,11",
"System.Windows.Media.Animation.TimeIntervalCollection.IntersectsMultiplePeriods(valuetype System.TimeSpan,valuetype System.Windows.Duration,float64)",1,1,"0,11","0,11",
"System.Windows.Media.BoundsDrawingContextWalker.DrawRoundedRectangle(class System.Windows.Media.Brush,class System.Windows.Media.Pen,valuetype System.Windows.Rect,float64,float64)",1,1,"0,11","0,11",
"System.Windows.Media.Composition.VisualProxy.SetFlags(int32,bool,valuetype System.Windows.Media.VisualProxyFlags)",1,1,"0,11","0,11",
"System.Windows.Media.GlyphRun.ComputeInkBoundingBoxLtoR(valuetype MS.Internal.Text.TextInterface.GlyphMetrics[])",4,1,"0,42","0,11",
"System.Windows.Media.Matrix.get_Determinant()",1,1,"0,11","0,11",
"System.Windows.Media.Matrix.Invert()",1,1,"0,11","0,11",
"System.Windows.Media.Matrix.op_Multiply(valuetype System.Windows.Media.Matrix,valuetype System.Windows.Media.Matrix)",1,1,"0,11","0,11",
"System.Windows.Media.Matrix.Skew(float64,float64)",1,1,"0,11","0,11",
"System.Windows.Media.MediaContext.CommitChannel()",3,1,"0,32","0,11",
"System.Windows.Media.MediaContext.get_HasCommittedThisVBlankInterval()",3,1,"0,32","0,11",
"System.Windows.Media.RectangleGeometry.get_RadiusX()",1,1,"0,11","0,11",
"System.Windows.Media.TextFormatting.CharacterBufferRange.get_Item(int32)",1,1,"0,11","0,11",
"System.Windows.Media.TranslateTransform.get_Value()",4,1,"0,42","0,11",
"System.Windows.Media.Typeface.CheckFastPathNominalGlyphs(valuetype System.Windows.Media.TextFormatting.CharacterBufferRange,float64,float64,float64,bool,bool,class System.Globalization.CultureInfo,valuetype System.Windows.Media.TextFormattingMode,bool,bool,int32&)",7,1,"0,74","0,11",
"System.Windows.Media.Typeface.GetCharacterNominalWidthsAndIdealWidth(valuetype System.Windows.Media.TextFormatting.CharacterBufferRange,float64,float64,valuetype System.Windows.Media.TextFormattingMode,bool,int32[]&,int32&)",4,1,"0,42","0,11",
"System.Windows.Media.Visual.PrecomputeContent()",3,1,"0,32","0,11",
"System.Windows.Media.Visual.RenderRecursive(class System.Windows.Media.RenderContext)",3,1,"0,32","0,11",
"System.Windows.Media.Visual.set_VisualClearTypeHint(valuetype System.Windows.Media.ClearTypeHint)",1,1,"0,11","0,11",
"System.Windows.Media.Visual.TrySimpleTransformToAncestor(class System.Windows.Media.Visual,bool,class System.Windows.Media.GeneralTransform&,valuetype System.Windows.Media.Matrix&)",8,1,"0,84","0,11",
"System.Windows.Media.Visual.UpdateChildren(class System.Windows.Media.RenderContext,valuetype System.Windows.Media.Composition.DUCE/ResourceHandle)",3,1,"0,32","0,11",
"System.Windows.Media.VisualTreeHelper.GetParent(class System.Windows.DependencyObject)",2,1,"0,21","0,11",
"System.Windows.Point.op_Subtraction(valuetype System.Windows.Point,valuetype System.Windows.Vector)",1,1,"0,11","0,11",
"System.Windows.PropertyMetadata.get_IsInherited()",1,1,"0,11","0,11",
"System.Windows.Rect.get_Size()",1,1,"0,11","0,11",
"System.Windows.Rect.IntersectsWith(valuetype System.Windows.Rect)",1,1,"0,11","0,11",
"System.Windows.ResourceDictionary.GetValue(object,bool&)",9,1,"0,95","0,11",
"System.Windows.ResourceDictionary.GetValueWithoutLock(object,bool&)",9,1,"0,95","0,11",
