Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"System.Windows.Input.InputManager.RaiseProcessInputEventHandlers(class System.Windows.Input.ProcessInputEventHandler,class System.Windows.Input.ProcessInputEventArgs)",45,0,"4,74","0,00",
"System.Windows.Input.InputManager.RequestContinueProcessingStagingArea()",1,0,"0,11","0,00",
"System.Windows.Input.InputProviderSite.ReportInput(class System.Windows.Input.InputReport)",304,0,"32,00","0,00",
"System.Windows.Input.KeyboardDevice.ChangeFocus(class System.Windows.DependencyObject,int32)",2,0,"0,21","0,00",
"System.Windows.Input.KeyboardDevice.Focus(class System.Windows.DependencyObject,bool,bool,bool)",2,0,"0,21","0,00",
"System.Windows.Input.KeyboardDevice.Focus(class System.Windows.IInputElement)",2,0,"0,21","0,00",
"System.Windows.Input.KeyboardDevice.TryChangeFocus(class System.Windows.DependencyObject,class System.Windows.Input.IKeyboardInputProvider,bool,bool,bool)",2,0,"0,21","0,00",
"System.Windows.Input.KeyboardNavigation.ExtractRawUIStateInputReport(class System.Windows.Input.InputEventArgs,class System.Windows.RoutedEvent)",1,0,"0,11","0,00",
"System.Windows.Input.KeyboardNavigation.PostProcessInput(object,class System.Windows.Input.ProcessInputEventArgs)",1,0,"0,11","0,00",
"System.Windows.Input.KeyboardNavigation.ProcessForUIState(class System.Windows.Input.InputEventArgs)",1,0,"0,11","0,00",
"System.Windows.Input.KeyboardNavigation.ProcessInput(class System.Windows.Input.InputEventArgs)",1,0,"0,11","0,00",
"System.Windows.Input.Mouse.get_PrimaryDevice()",1,0,"0,11","0,00",
"System.Windows.Input.MouseButtonEventArgs.InvokeEventHandler(class System.Delegate,object)",177,0,"18,63","0,00",
"System.Windows.Input.MouseDevice.Capture(class System.Windows.IInputElement,valuetype System.Windows.Input.CaptureMode)",4,0,"0,42","0,00",
"System.Windows.Input.MouseDevice.ChangeMouseCapture(class System.Windows.IInputElement,class System.Windows.Input.IMouseInputProvider,valuetype System.Windows.Input.CaptureMode,int32)",4,0,"0,42","0,00",
"System.Windows.Input.MouseDevice.ChangeMouseOver(class System.Windows.IInputElement,int32)",4,0,"0,42","0,00",
"System.Windows.Input.MouseDevice.FindMouseInputProviderForCursor()",1,0,"0,11","0,00",
"System.Windows.Input.MouseDevice.GetPosition(class System.Windows.IInputElement)",7,0,"0,74","0,00",
"System.Windows.Input.MouseDevice.GlobalHitTest(bool,valuetype System.Windows.Point,class System.Windows.PresentationSource,class System.Windows.IInputElement&,class System.Windows.IInputElement&)",7,0,"0,74","0,00",
"System.Windows.Input.MouseDevice.LocalHitTest(bool,valuetype System.Windows.Point,class System.Windows.PresentationSource,class System.Windows.IInputElement&,class System.Windows.IInputElement&)",23,0,"2,42","0,00",
"System.Windows.Input.MouseDevice.OnHitTestInvalidatedAsync(object,class System.EventArgs)",10,0,"1,05","0,00",
"System.Windows.Input.MouseDevice.PostProcessInput(object,class System.Windows.Input.ProcessInputEventArgs)",23,0,"2,42","0,00",
"System.Windows.Input.MouseDevice.PreNotifyInput(object,class System.Windows.Input.NotifyInputEventArgs)",25,0,"2,63","0,00",
"System.Windows.Input.MouseDevice.PreNotifyInput(object,class System.Windows.Input.NotifyInputEventArgs)",16,0,"1,68","0,00",
"System.Windows.Input.MouseDevice.SetCursor(class System.Windows.Input.Cursor)",2,0,"0,21","0,00",
"System.Windows.Input.MouseDevice.Synchronize()",12,0,"1,26","0,00",
"System.Windows.Input.MouseDevice.UpdateCursorPrivate()",23,0,"2,42","0,00",
"System.Windows.Input.MouseEventArgs.InvokeEventHandler(class System.Delegate,object)",3,0,"0,32","0,00",
"System.Windows.Input.QueryCursorEventArgs.InvokeEventHandler(class System.Delegate,object)",3,0,"0,32","0,00",
"System.Windows.Input.RoutedCommand.CanExecute(object,class System.Windows.IInputElement)",9,0,"0,95","0,00",
"System.Windows.Input.RoutedCommand.CanExecuteImpl(object,class System.Windows.IInputElement,bool,bool&)",8,0,"0,84","0,00",
"System.Windows.Input.RoutedCommand.CriticalCanExecute(object,class System.Windows.IInputElement,bool,bool&)",9,0,"0,95","0,00",
"System.Windows.Input.RoutedCommand.CriticalCanExecuteWrapper(object,class System.Windows.IInputElement,bool,class System.Windows.Input.CanExecuteRoutedEventArgs)",8,0,"0,84","0,00",
"System.Windows.Input.TextServicesManager.PostProcessInput(object,class System.Windows.Input.ProcessInputEventArgs)",4,0,"0,42","0,00",
"System.Windows.Interop.ComponentDispatcher.get_CurrentThreadData()",1,0,"0,11","0,00",
"System.Windows.Interop.ComponentDispatcherThread.RaiseThreadMessage(valuetype System.Windows.Interop.MSG&)",1,0,"0,11","0,00",
"System.Windows.Interop.HwndMouseInputProvider.FilterMessage(native int,valuetype MS.Internal.Interop.WindowMessage,native int,native int,bool&)",132,0,"13,89","0,00",
"System.Windows.Interop.HwndMouseInputProvider.FilterMessage(native int,valuetype MS.Internal.Interop.WindowMessage,native int,native int,bool&)",180,0,"18,95","0,00",
"System.Windows.Interop.HwndMouseInputProvider.ReportInput(native int,valuetype System.Windows.Input.InputMode,int32,valuetype System.Windows.Input.RawMouseActions,int32,int32,int32)",305,0,"32,11","0,00",
"System.Windows.Interop.HwndMouseInputProvider.System.Windows.Input.IMouseInputProvider.ReleaseMouseCapture()",4,0,"0,42","0,00",
"System.Windows.Interop.HwndMouseInputProvider.System.Windows.Input.IMouseInputProvider.SetCursor(class System.Windows.Input.Cursor)",1,0,"0,11","0,00",
"System.Windows.Interop.HwndSource.InputFilterMessage(native int,int32,native int,native int,bool&)",309,0,"32,53","0,00",
"System.Windows.Interop.HwndSource.LayoutFilterMessage(native int,int32,native int,native int,bool&)",1,0,"0,11","0,00",
"System.Windows.Interop.HwndSource.OnLayoutUpdated(object,class System.EventArgs)",2,0,"0,21","0,00",
"System.Windows.Interop.HwndSource.PublicHooksFilterMessage(native int,int32,native int,native int,bool&)",50,0,"5,26","0,00",
"System.Windows.Interop.HwndSource.Resize(valuetype System.Windows.Size)",2,0,"0,21","0,00",
"System.Windows.Interop.HwndSource.set_RootVisual(class System.Windows.Media.Visual)",5,0,"0,53","0,00",
"System.Windows.Interop.HwndSource.set_RootVisualInternal(class System.Windows.Media.Visual)",5,0,"0,53","0,00",
"System.Windows.Interop.HwndSource.SetLayoutSize()",5,0,"0,53","0,00",
"System.Windows.Interop.HwndSource.WeakEventPreprocessMessage.OnPreprocessMessage(valuetype System.Windows.Interop.MSG&,bool&)",1,0,"0,11","0,00",
"System.Windows.Interop.HwndTarget.OnResize()",2,0,"0,21","0,00",
"System.Windows.Interop.HwndTarget.UpdateWindowSettings(bool,valuetype System.Nullable`1<valuetype System.Windows.Media.Composition.DUCE/ChannelSet>)",1,0,"0,11","0,00",
"System.Windows.Markup.WpfXamlLoader.Load(class System.Xaml.XamlReader,class System.Xaml.IXamlObjectWriterFactory,bool,object,class System.Xaml.XamlObjectWriterSettings,class System.Uri)",14,0,"1,47","0,00",
"System.Windows.Markup.WpfXamlLoader.LoadBaml(class System.Xaml.XamlReader,bool,object,class System.Xaml.Permissions.XamlAccessLevel,class System.Uri)",12,0,"1,26","0,00",
"System.Windows.Markup.WpfXamlLoader.LoadDeferredContent(class System.Xaml.XamlReader,class System.Xaml.IXamlObjectWriterFactory,bool,object,class System.Xaml.XamlObjectWriterSettings,class System.Uri)",4,0,"0,42","0,00",
"System.Windows.Markup.WpfXamlLoader.TransformNodes(class System.Xaml.XamlReader,class System.Xaml.XamlObjectWriter,bool,bool,bool,class System.Xaml.IXamlLineInfo,class System.Xaml.IXamlLineInfoConsumer,class MS.Internal.Xaml.Context.XamlContextStack`1<class System.Windows.Markup.WpfXamlFrame>,class System.Windows.Markup.IStyleConnector)",14,0,"1,47","0,00",
"System.Windows.Markup.XamlReader.LoadBaml(class System.IO.Stream,class System.Windows.Markup.ParserContext,object,bool)",12,0,"1,26","0,00",
"System.Windows.Media.Animation.Animatable.PropertyChanged(class System.Windows.DependencyProperty)",1,0,"0,11","0,00",
"System.Windows.Media.Animation.AnimationStorage.GetCurrentPropertyValue(class System.Windows.Media.Animation.AnimationStorage,class System.Windows.DependencyObject,class System.Windows.DependencyProperty,class System.Windows.PropertyMetadata,object)",6,0,"0,63","0,00",
"System.Windows.Media.Animation.AnimationStorage.OnCurrentTimeInvalidated(object,class System.EventArgs)",19,0,"2,00","0,00",
"System.Windows.Media.Animation.Clock.ClipNextTickByParent()",1,0,"0,11","0,00",
"System.Windows.Media.Animation.Clock.ComputeCurrentIteration(valuetype System.TimeSpan,float64,valuetype System.Nullable`1<valuetype System.TimeSpan>,valuetype System.TimeSpan&)",1,0,"0,11","0,00",
"System.Windows.Media.Animation.Clock.ComputeEffectiveDuration()",1,0,"0,11","0,00",
"System.Windows.Media.Animation.Clock.ComputeExpirationTime(valuetype System.Nullable`1<valuetype System.TimeSpan>&)",1,0,"0,11","0,00",
"System.Windows.Media.Animation.Clock.ComputeIntervalsWithParentIntersection(valuetype System.Windows.Media.Animation.TimeIntervalCollection,valuetype System.Windows.Media.Animation.TimeIntervalCollection,valuetype System.Nullable`1<valuetype System.TimeSpan>,valuetype System.Windows.Duration)",11,0,"1,16","0,00",
"System.Windows.Media.Animation.Clock.ComputeLocalState()",18,0,"1,89","0,00",
"System.Windows.Media.Animation.Clock.ComputeLocalStateHelper(bool,bool)",18,0,"1,89","0,00",
"System.Windows.Media.Animation.Clock.FireEvent(class System.Windows.EventPrivateKey)",23,0,"2,42","0,00",
"System.Windows.Media.Animation.Clock.RaiseAccumulatedEvents()",23,0,"2,42","0,00",
"System.Windows.Media.Animation.Clock.RaiseCurrentTimeInvalidated()",1,0,"0,11","0,00",
"System.Windows.Media.Animation.ClockGroup.ComputeCurrentIntervals(valuetype System.Windows.Media.Animation.TimeIntervalCollection,valuetype System.TimeSpan,valuetype System.Nullable`1<valuetype System.TimeSpan>,valuetype System.Windows.Duration,valuetype System.Windows.Duration,float64,float64,float64,bool)",1,0,"0,11","0,00",
"System.Windows.Media.Animation.ClockGroup.ComputeTreeState()",21,0,"2,21","0,00",
"System.Windows.Media.Animation.DoubleAnimationBase.GetCurrentValue(float64,float64,class System.Windows.Media.Animation.AnimationClock)",4,0,"0,42","0,00",
"System.Windows.Media.Animation.DoubleAnimationBase.GetCurrentValue(object,object,class System.Windows.Media.Animation.AnimationClock)",4,0,"0,42","0,00",
"System.Windows.Media.Animation.DoubleIndependentAnimationStorage.UpdateResourceCore(class System.Windows.Media.Composition.DUCE/Channel)",1,0,"0,11","0,00",
"System.Windows.Media.Animation.DoubleKeyFrame.InterpolateValue(float64,float64)",1,0,"0,11","0,00",
"System.Windows.Media.Animation.EasingDoubleKeyFrame.InterpolateValueCore(float64,float64)",1,0,"0,11","0,00",
"System.Windows.Media.Animation.EasingFunctionBase.Ease(float64)",1,0,"0,11","0,00",
"System.Windows.Media.Animation.ExponentialEase.EaseInCore(float64)",1,0,"0,11","0,00",
"System.Windows.Media.Animation.IndependentAnimationStorage.InvalidateResource()",1,0,"0,11","0,00",
"System.Windows.Media.Animation.IndependentAnimationStorage.UpdateResource(class System.Windows.Media.Composition.DUCE/Channel,bool)",1,0,"0,11","0,00",
"System.Windows.Media.Animation.PrefixSubtreeEnumerator.MoveNext()",1,0,"0,11","0,00",
"System.Windows.Media.Animation.Storyboard.GetComplexPathValue(class System.Windows.DependencyObject,class System.Windows.DependencyProperty,valuetype System.Windows.EffectiveValueEntry&,class System.Windows.PropertyMetadata)",2,0,"0,21","0,00",
"System.Windows.Media.Animation.Storyboard.SetTargetProperty(class System.Windows.DependencyObject,class System.Windows.PropertyPath)",1,0,"0,11","0,00",
"System.Windows.Media.Animation.TimeIntervalCollection.ProjectionNormalize(valuetype System.Windows.Media.Animation.TimeIntervalCollection&,valuetype System.TimeSpan,valuetype System.Nullable`1<valuetype System.TimeSpan>,bool,float64)",1,0,"0,11","0,00",
"System.Windows.Media.Animation.TimeIntervalCollection.ProjectOntoPeriodicFunction(valuetype System.Windows.Media.Animation.TimeIntervalCollection&,valuetype System.TimeSpan,valuetype System.Nullable`1<valuetype System.TimeSpan>,valuetype System.Windows.Duration,valuetype System.Windows.Duration,float64,float64,float64,bool)",1,0,"0,11","0,00",
"System.Windows.Media.Animation.Timeline.get_AccelerationRatio()",1,0,"0,11","0,00",
"System.Windows.Media.Animation.Timeline.get_AutoReverse()",2,0,"0,21","0,00",
"System.Windows.Media.Animation.Timeline.get_DecelerationRatio()",2,0,"0,21","0,00",
"System.Windows.Media.Animation.Timeline.get_FillBehavior()",1,0,"0,11","0,00",
"System.Windows.Media.Animation.Timeline.get_RepeatBehavior()",2,0,"0,21","0,00",
"System.Windows.Media.Animation.TimeManager.GetCurrentGlobalTime()",1,0,"0,11","0,00",
"System.Windows.Media.Animation.TimeManager.RaiseEnqueuedEvents()",23,0,"2,42","0,00",
"System.Windows.Media.Animation.TimeManager.Tick()",46,0,"4,84","0,00",
"System.Windows.Media.Composition.DUCE.Channel.Commit()",1,0,"0,11","0,00",
"System.Windows.Media.Composition.DUCE.Channel.PeekNextMessage(valuetype System.Windows.Media.Composition.DUCE/MilMessage/Message&)",1,0,"0,11","0,00",
"System.Windows.Media.Composition.DUCE.Channel.SendCommand(uint8*,int32,bool)",2,0,"0,21","0,00",
"System.Windows.Media.Composition.DUCE.CompositionTarget.UpdateWindowSettings(valuetype System.Windows.Media.Composition.DUCE/ResourceHandle,valuetype MS.Win32.NativeMethods/RECT,valuetype System.Windows.Media.Color,float32,valuetype System.Windows.Media.Composition.MILWindowLayerType,valuetype System.Windows.Media.Composition.MILTransparencyFlags,bool,bool,bool,int32,class System.Windows.Media.Composition.DUCE/Channel)",1,0,"0,11","0,00",
"System.Windows.Media.CompositionTarget.Compile(class System.Windows.Media.Composition.DUCE/Channel)",3,0,"0,32","0,00",
"System.Windows.Media.CompositionTarget.System.Windows.Media.ICompositionTarget.Render(bool,class System.Windows.Media.Composition.DUCE/Channel)",16,0,"1,68","0,00",
"System.Windows.Media.Geometry.ContainsInternal(class System.Windows.Media.Pen,valuetype System.Windows.Point,float64,valuetype System.Windows.Media.ToleranceType,valuetype System.Windows.Point*,uint32,uint8*,uint32)",3,0,"0,32","0,00",
"System.Windows.Media.Geometry.get_Transform()",1,0,"0,11","0,00",
"System.Windows.Media.GlyphRun.ComputeInkBoundingBox()",5,0,"0,53","0,00",
"System.Windows.Media.GlyphRun.EmGlyphMetrics..ctor(valuetype MS.Internal.Text.TextInterface.GlyphMetrics,float64,valuetype System.Windows.Media.TextFormattingMode)",3,0,"0,32","0,00",
"System.Windows.Media.GlyphTypeface.GetAdvanceWidthsUnshaped(char*,int32,float64,float64,int32*,bool,valuetype System.Windows.Media.TextFormattingMode,bool)",2,0,"0,21","0,00",
"System.Windows.Media.GlyphTypeface.GetGlyphMetrics(uint16[],int32,float64,valuetype System.Windows.Media.TextFormattingMode,bool,valuetype MS.Internal.Text.TextInterface.GlyphMetrics[])",1,0,"0,11","0,00",
"System.Windows.Media.GlyphTypeface.GetGlyphMetricsAndIndicesOptimized(uint32*,int32,float64,uint16[],valuetype MS.Internal.Text.TextInterface.GlyphMetrics[],valuetype System.Windows.Media.TextFormattingMode,bool)",3,0,"0,32","0,00",
"System.Windows.Media.GlyphTypeface.GetGlyphMetricsOptimized(valuetype System.Windows.Media.TextFormatting.CharacterBufferRange,float64,uint16[],valuetype MS.Internal.Text.TextInterface.GlyphMetrics[],valuetype System.Windows.Media.TextFormattingMode,bool)",4,0,"0,42","0,00",
"System.Windows.Media.GlyphTypeface.GlyphMetrics(uint16*,int32,valuetype MS.Internal.Text.TextInterface.GlyphMetrics*,float64,valuetype System.Windows.Media.TextFormattingMode,bool)",1,0,"0,11","0,00",
"System.Windows.Media.HitTestDrawingContextWalker.DrawRectangle(class System.Windows.Media.Brush,class System.Windows.Media.Pen,valuetype System.Windows.Rect)",3,0,"0,32","0,00",
"System.Windows.Media.Matrix.get_HasInverse()",1,0,"0,11","0,00",
"System.Windows.Media.Matrix.RotateAt(float64,float64,float64)",1,0,"0,11","0,00",
"System.Windows.Media.MediaContext.add__resourcesUpdatedHandlers(class System.Windows.Media.MediaContext/ResourcesUpdatedHandler)",1,0,"0,11","0,00",
"System.Windows.Media.MediaContext.AnimatedRenderMessageHandler(object)",67,0,"7,05","0,00",
"System.Windows.Media.MediaContext.BeginInvokeOnRender(class System.Windows.Threading.DispatcherOperationCallback,object)",1,0,"0,11","0,00",
"System.Windows.Media.MediaContext.CountsToTicks(int64)",1,0,"0,11","0,00",
"System.Windows.Media.MediaContext.EstimatedNextVSyncTimeExpired(object,class System.EventArgs)",2,0,"0,21","0,00",
"System.Windows.Media.MediaContext.FireInvokeOnRenderCallbacks()",46,0,"4,84","0,00",
"System.Windows.Media.MediaContext.FireLoadedPendingCallbacks()",1,0,"0,11","0,00",
"System.Windows.Media.MediaContext.InvokeOnRenderCallback.DoWork()",45,0,"4,74","0,00",
"System.Windows.Media.MediaContext.NotifyChannelMessage()",10,0,"1,05","0,00",
"System.Windows.Media.MediaContext.NotifyPresented(valuetype System.Windows.Media.Composition.MIL_PRESENTATION_RESULTS,int64,int32)",9,0,"0,95","0,00",
"System.Windows.Media.MediaContext.RaiseResourcesUpdated()",1,0,"0,11","0,00",
"System.Windows.Media.MediaContext.Render(class System.Windows.Media.ICompositionTarget)",17,0,"1,79","0,00",
"System.Windows.Media.MediaContext.RenderMessageHandler(object)",44,0,"4,63","0,00",
"System.Windows.Media.MediaContext.RenderMessageHandlerCore(object)",111,0,"11,68","0,00",
"System.Windows.Media.MediaContext.RequestPresentedNotification(class System.Windows.Media.Composition.DUCE/Channel,int64)",1,0,"0,11","0,00",
"System.Windows.Media.MediaContext.Resize(class System.Windows.Media.ICompositionTarget)",2,0,"0,21","0,00",
"System.Windows.Media.MediaContext.ScheduleNextRenderOp(valuetype System.TimeSpan)",4,0,"0,42","0,00",
"System.Windows.Media.MediaContext.System.Windows.Media.Animation.IClock.get_CurrentTime()",1,0,"0,11","0,00",
"System.Windows.Media.MediaContextNotificationWindow.MessageFilter(native int,int32,native int,native int,bool&)",10,0,"1,05","0,00",
"System.Windows.Media.RectangleGeometry.ContainsInternal(class System.Windows.Media.Pen,valuetype System.Windows.Point,float64,valuetype System.Windows.Media.ToleranceType)",4,0,"0,42","0,00",
"System.Windows.Media.RenderData.DrawingContextWalk(class System.Windows.Media.DrawingContextWalker)",4,0,"0,42","0,00",
"System.Windows.Media.RenderData.GetContentBounds(class System.Windows.Media.BoundsDrawingContextWalker)",1,0,"0,11","0,00",
"System.Windows.Media.RenderData.HitTestPoint(valuetype System.Windows.Point)",3,0,"0,32","0,00",
"System.Windows.Media.RenderDataDrawingContext.DrawGlyphRun(class System.Windows.Media.Brush,class System.Windows.Media.GlyphRun)",1,0,"0,11","0,00",
"System.Windows.Media.RotateTransform.get_Angle()",2,0,"0,21","0,00",
"System.Windows.Media.RotateTransform.get_Value()",3,0,"0,32","0,00",
"System.Windows.Media.SkewTransform.get_AngleX()",1,0,"0,11","0,00",
"System.Windows.Media.SkewTransform.get_AngleY()",1,0,"0,11","0,00",
"System.Windows.Media.SkewTransform.get_IsIdentity()",1,0,"0,11","0,00",
"System.Windows.Media.SkewTransform.get_Value()",2,0,"0,21","0,00",
"System.Windows.Media.TextFormatting.TextShapeableCharacters.Draw(class System.Windows.Media.DrawingContext,class System.Windows.Media.Brush,class System.Windows.Media.GlyphRun)",1,0,"0,11","0,00",
"System.Windows.Media.TextFormatting.TextShapeableCharacters.GetAdvanceWidthsUnshaped(char*,int32,float64,int32*)",2,0,"0,21","0,00",
"System.Windows.Media.TransformGroup.get_Children()",1,0,"0,11","0,00",
"System.Windows.Media.TransformGroup.get_IsIdentity()",1,0,"0,11","0,00",
"System.Windows.Media.TransformGroup.get_Value()",14,0,"1,47","0,00",
"System.Windows.Media.TranslateTransform.get_Y()",2,0,"0,21","0,00",
"System.Windows.Media.TranslateTransform.XPropertyChanged(class System.Windows.DependencyObject,valuetype System.Windows.DependencyPropertyChangedEventArgs)",1,0,"0,11","0,00",
"System.Windows.Media.Visual.AddVisualChild(class System.Windows.Media.Visual)",8,0,"0,84","0,00",
"System.Windows.Media.Visual.ChangeVisualClip(class System.Windows.Media.Geometry,bool)",1,0,"0,11","0,00",
"System.Windows.Media.Visual.FireOnVisualParentChanged(class System.Windows.DependencyObject)",19,0,"2,00","0,00",
"System.Windows.Media.Visual.HitTest(class System.Windows.Media.HitTestFilterCallback,class System.Windows.Media.HitTestResultCallback,class System.Windows.Media.HitTestParameters)",39,0,"4,11","0,00",
"System.Windows.Media.Visual.HitTestPointInternal(class System.Windows.Media.HitTestFilterCallback,class System.Windows.Media.HitTestResultCallback,class System.Windows.Media.PointHitTestParameters)",3,0,"0,32","0,00",
"System.Windows.Media.Visual.Precompute()",13,0,"1,37","0,00",
"System.Windows.Media.Visual.PropagateFlags(class System.Windows.Media.Visual,valuetype System.Windows.Media.VisualFlags,valuetype System.Windows.Media.VisualProxyFlags)",1,0,"0,11","0,00",
"System.Windows.Media.Visual.RemoveVisualChild(class System.Windows.Media.Visual)",11,0,"1,16","0,00",
"System.Windows.Media.Visual.Render(class System.Windows.Media.RenderContext,uint32)",3,0,"0,32","0,00",
"System.Windows.Media.Visual.set_VisualYSnappingGuidelines(class System.Windows.Media.DoubleCollection)",1,0,"0,11","0,00",
"System.Windows.Media.Visual.TransformChanged(object,class System.EventArgs)",1,0,"0,11","0,00",
"System.Windows.Media.VisualCollection.Add(class System.Windows.Media.Visual)",2,0,"0,21","0,00",
"System.Windows.Media.VisualCollection.ConnectChild(int32,class System.Windows.Media.Visual)",2,0,"0,21","0,00",
"System.Windows.MessageBox.ShowCore(native int,string,string,valuetype System.Windows.MessageBoxButton,valuetype System.Windows.MessageBoxImage,valuetype System.Windows.MessageBoxResult,valuetype System.Windows.MessageBoxOptions)",2,0,"0,21","0,00",
"System.Windows.Navigation.BaseUriHelper.IsComponentEntryAssembly(string)",1,0,"0,11","0,00",
"System.Windows.PresentationSource.CriticalFromVisual(class System.Windows.DependencyObject,bool)",1,0,"0,11","0,00",
"System.Windows.PresentationSource.FindSource(class System.Windows.DependencyObject,bool)",1,0,"0,11","0,00",
"System.Windows.PropertyMetadata.get_DefaultValue()",3,0,"0,32","0,00",
"System.Windows.PropertyPath.GetPropertyHelper(class System.Type,string)",1,0,"0,11","0,00",
"System.Windows.PropertyPath.ResolvePropertyName(string,object,class System.Type,object,bool)",1,0,"0,11","0,00",
"System.Windows.Rect.Intersect(valuetype System.Windows.Rect)",1,0,"0,11","0,00",
"System.Windows.ResourceDictionary.CreateObject(class System.Windows.Baml2006.KeyRecord)",6,0,"0,63","0,00",
"System.Windows.ResourceDictionary.FetchResource(object,bool,bool,bool,bool&)",16,0,"1,68","0,00",
"System.Windows.ResourceDictionary.NotifyOwners(valuetype System.Windows.ResourcesChangeInfo)",7,0,"0,74","0,00",
"System.Windows.ResourceDictionary.OnGettingValue(object,object&,bool&)",6,0,"0,63","0,00",
"System.Windows.ResourceDictionary.OnGettingValuePrivate(object,object&,bool&)",6,0,"0,63","0,00",
"System.Windows.ResourceDictionary.OnMergedDictionariesChanged(object,class System.Collections.Specialized.NotifyCollectionChangedEventArgs)",5,0,"0,53","0,00",
"System.Windows.ResourceDictionary.set_Item(object,object)",2,0,"0,21","0,00",
"System.Windows.ResourceDictionary.set_Source(class System.Uri)",2,0,"0,21","0,00",
"System.Windows.ResourceDictionary.SetValueWithoutLock(object,object)",2,0,"0,21","0,00",
"System.Windows.ResourceDictionaryCollection.InsertItem(int32,class System.Windows.ResourceDictionary)",1,0,"0,11","0,00",
"System.Windows.ResourceReferenceExpression.GetRawValue(class System.Windows.DependencyObject,object&,class System.Windows.DependencyProperty)",1,0,"0,11","0,00",
"System.Windows.ResourceReferenceExpression.GetValue(class System.Windows.DependencyObject,class System.Windows.DependencyProperty)",1,0,"0,11","0,00",
"System.Windows.ResourceReferenceExpression.InvalidateExpressionValue(object,class System.EventArgs)",1,0,"0,11","0,00",
"System.Windows.ReverseInheritProperty.FirePropertyChangeInAncestry(class System.Windows.DependencyObject,bool,class MS.Internal.DeferredElementTreeState,class System.Action`2<class System.Windows.DependencyObject,bool>)",4,0,"0,42","0,00",
"System.Windows.ReverseInheritProperty.OnOriginValueChanged(class System.Windows.DependencyObject,class System.Windows.DependencyObject,class System.Collections.Generic.IList`1<class System.Windows.DependencyObject>,class MS.Internal.DeferredElementTreeState&,class System.Action`2<class System.Windows.DependencyObject,bool>)",5,0,"0,53","0,00",
"System.Windows.ReverseInheritProperty.SetCacheFlagInAncestry(class System.Windows.DependencyObject,bool,class MS.Internal.DeferredElementTreeState,bool,bool)",1,0,"0,11","0,00",
"System.Windows.RoutedEventArgs.InvokeHandler(class System.Delegate,object)",184,0,"19,37","0,00",
"System.Windows.Shell.WindowChrome.GetIsHitTestVisibleInChrome(class System.Windows.IInputElement)",2,0,"0,21","0,00",
"System.Windows.Shell.WindowChromeWorker._HandleNCActivate(valuetype Standard.WM,native int,native int,bool&)",1,0,"0,11","0,00",
"System.Windows.StyleHelper.ApplyStyleOrTemplateValue(valuetype MS.Internal.FrameworkObject,class System.Windows.DependencyProperty)",1,0,"0,11","0,00",
"System.Windows.StyleHelper.ApplyTemplateContent(class System.Windows.UncommonField`1<class System.Collections.Specialized.HybridDictionary[]>,class System.Windows.DependencyObject,class System.Windows.FrameworkElementFactory,int32,class System.Collections.Specialized.HybridDictionary,class System.Windows.FrameworkTemplate)",13,0,"1,37","0,00",
"System.Windows.StyleHelper.ApplyTemplatedParentValue(class System.Windows.DependencyObject,valuetype MS.Internal.FrameworkObject,int32,valuetype MS.Utility.FrugalStructList`1<valuetype System.Windows.ChildRecord>&,class System.Windows.DependencyProperty,class System.Windows.FrameworkElementFactory)",1,0,"0,11","0,00",
"System.Windows.StyleHelper.ClearGeneratedSubTree(class System.Collections.Specialized.HybridDictionary[],class System.Windows.FrameworkElement,class System.Windows.FrameworkContentElement,class System.Windows.FrameworkTemplate)",11,0,"1,16","0,00",
"System.Windows.StyleHelper.DoStyleInvalidations(class System.Windows.FrameworkElement,class System.Windows.FrameworkContentElement,class System.Windows.Style,class System.Windows.Style)",1,0,"0,11","0,00",
"System.Windows.StyleHelper.DoTemplateInvalidations(class System.Windows.FrameworkElement,class System.Windows.FrameworkTemplate)",11,0,"1,16","0,00",
"System.Windows.StyleHelper.GetChildValue(class System.Windows.UncommonField`1<class System.Collections.Specialized.HybridDictionary[]>,class System.Windows.DependencyObject,int32,valuetype MS.Internal.FrameworkObject,class System.Windows.DependencyProperty,valuetype MS.Utility.FrugalStructList`1<valuetype System.Windows.ChildRecord>&,valuetype System.Windows.EffectiveValueEntry&,valuetype System.Windows.ValueLookupType&,class System.Windows.FrameworkElementFactory)",15,0,"1,58","0,00",
"System.Windows.StyleHelper.GetChildValueHelper(class System.Windows.UncommonField`1<class System.Collections.Specialized.HybridDictionary[]>,valuetype MS.Utility.ItemStructList`1<valuetype System.Windows.ChildValueLookup>&,class System.Windows.DependencyProperty,class System.Windows.DependencyObject,valuetype MS.Internal.FrameworkObject,int32,bool,valuetype System.Windows.EffectiveValueEntry&,valuetype System.Windows.ValueLookupType&,class System.Windows.FrameworkElementFactory)",15,0,"1,58","0,00",
"System.Windows.StyleHelper.GetValueFromTemplatedParent(class System.Windows.DependencyObject,int32,valuetype MS.Internal.FrameworkObject,class System.Windows.DependencyProperty,valuetype MS.Utility.FrugalStructList`1<valuetype System.Windows.ChildRecord>&,class System.Windows.FrameworkElementFactory,valuetype System.Windows.EffectiveValueEntry&)",4,0,"0,42","0,00",
