Level,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,Module Name,
94,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
95,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
96,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
97,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
98,"[clr.dll]",1,1,"0,11","0,11","clr.dll",
88,"System.Reflection.RuntimeFieldInfo.IsDefined(class System.Type,bool)",1,0,"0,11","0,00","mscorlib.dll",
89,"System.Reflection.CustomAttribute.IsDefined(class System.Reflection.RuntimeFieldInfo,class System.RuntimeType)",1,0,"0,11","0,00","mscorlib.dll",
90,"System.Reflection.CustomAttribute.IsCustomAttributeDefined(class System.Reflection.RuntimeModule,int32,class System.RuntimeType,int32,bool)",1,0,"0,11","0,00","mscorlib.dll",
91,"System.Reflection.CustomAttributeData.GetCustomAttributeRecords(class System.Reflection.RuntimeModule,int32)",1,0,"0,11","0,00","mscorlib.dll",
92,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
93,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
94,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
95,"[clr.dll]",1,1,"0,11","0,11","clr.dll",
88,"System.RuntimeType.GetFields(valuetype System.Reflection.BindingFlags)",1,0,"0,11","0,00","mscorlib.dll",
89,"System.RuntimeType.GetFieldCandidates(string,valuetype System.Reflection.BindingFlags,bool)",1,0,"0,11","0,00","mscorlib.dll",
90,"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.GetMemberList(valuetype System.RuntimeType/MemberListType,string,valuetype System.RuntimeType/RuntimeTypeCache/CacheType)",1,0,"0,11","0,00","mscorlib.dll",
91,"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.Populate(string,valuetype System.RuntimeType/MemberListType,valuetype System.RuntimeType/RuntimeTypeCache/CacheType)",1,0,"0,11","0,00","mscorlib.dll",
92,"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.GetListByName(char*,int32,uint8*,int32,valuetype System.RuntimeType/MemberListType,valuetype System.RuntimeType/RuntimeTypeCache/CacheType)",1,0,"0,11","0,00","mscorlib.dll",
93,"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.PopulateFields(valuetype System.RuntimeType/RuntimeTypeCache/Filter)",1,0,"0,11","0,00","mscorlib.dll",
94,"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.PopulateLiteralFields(valuetype System.RuntimeType/RuntimeTypeCache/Filter,class System.RuntimeType,valuetype System.RuntimeType/ListBuilder`1<class System.Reflection.RuntimeFieldInfo>&)",1,0,"0,11","0,00","mscorlib.dll",
95,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
96,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
97,"[clr.dll]",1,1,"0,11","0,11","clr.dll",
81,"System.ComponentModel.Composition.Hosting.AssemblyCatalog.get_InnerCatalog()",14,0,"1,47","0,00","System.ComponentModel.Composition.ni.dll",
82,"System.Reflection.Assembly.GetTypes()",13,0,"1,37","0,00","mscorlib.dll",
83,"System.Reflection.RuntimeModule.GetTypes()",13,0,"1,37","0,00","mscorlib.dll",
84,"[clr.dll]",13,0,"1,37","0,00","clr.dll",
85,"[clr.dll]",13,0,"1,37","0,00","clr.dll",
86,"[clr.dll]",13,0,"1,37","0,00","clr.dll",
87,"[clr.dll]",13,0,"1,37","0,00","clr.dll",
88,"[clr.dll]",13,0,"1,37","0,00","clr.dll",
89,"[clr.dll]",13,0,"1,37","0,00","clr.dll",
90,"[clr.dll]",13,0,"1,37","0,00","clr.dll",
91,"[clr.dll]",13,0,"1,37","0,00","clr.dll",
92,"[clr.dll]",13,0,"1,37","0,00","clr.dll",
93,"[clr.dll]",13,0,"1,37","0,00","clr.dll",
94,"[clr.dll]",13,1,"1,37","0,11","clr.dll",
95,"[clr.dll]",12,2,"1,26","0,21","clr.dll",
96,"[clr.dll]",10,1,"1,05","0,11","clr.dll",
97,"[clr.dll]",9,1,"0,95","0,11","clr.dll",
98,"[clr.dll]",8,2,"0,84","0,21","clr.dll",
99,"[clr.dll]",6,1,"0,63","0,11","clr.dll",
100,"[clr.dll]",5,0,"0,53","0,00","clr.dll",
101,"[clr.dll]",5,0,"0,53","0,00","clr.dll",
102,"[clr.dll]",5,2,"0,53","0,21","clr.dll",
103,"[clr.dll]",3,1,"0,32","0,11","clr.dll",
104,"[clr.dll]",2,0,"0,21","0,00","clr.dll",
105,"[clr.dll]",2,0,"0,21","0,00","clr.dll",
106,"[clr.dll]",2,0,"0,21","0,00","clr.dll",
107,"[clr.dll]",2,0,"0,21","0,00","clr.dll",
108,"[clr.dll]",2,0,"0,21","0,00","clr.dll",
109,"[clr.dll]",2,0,"0,21","0,00","clr.dll",
110,"[clr.dll]",2,0,"0,21","0,00","clr.dll",
111,"[clr.dll]",2,0,"0,21","0,00","clr.dll",
112,"[clr.dll]",2,0,"0,21","0,00","clr.dll",
113,"[clr.dll]",2,0,"0,21","0,00","clr.dll",
114,"[clr.dll]",2,1,"0,21","0,11","clr.dll",
115,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
116,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
117,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
118,"[clr.dll]",1,1,"0,11","0,11","clr.dll",
82,"System.ComponentModel.Composition.Hosting.TypeCatalog..ctor(class System.Collections.Generic.IEnumerable`1<class System.Type>,class System.ComponentModel.Composition.Primitives.ICompositionElement)",1,0,"0,11","0,00","System.ComponentModel.Composition.ni.dll",
83,"System.ComponentModel.Composition.Hosting.TypeCatalog.InitializeTypeCatalog(class System.Collections.Generic.IEnumerable`1<class System.Type>)",1,0,"0,11","0,00","System.ComponentModel.Composition.ni.dll",
84,"System.RuntimeType.get_Assembly()",1,0,"0,11","0,00","mscorlib.dll",
85,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
86,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
87,"[clr.dll]",1,1,"0,11","0,11","clr.dll",
76,"System.IO.Directory.GetFiles(string,string,valuetype System.IO.SearchOption)",1,0,"0,11","0,00","mscorlib.dll",
77,"System.IO.FileSystemEnumerableIterator`1..ctor(string,string,string,valuetype System.IO.SearchOption,class System.IO.SearchResultHandler`1<!0>,bool)",1,0,"0,11","0,00","mscorlib.dll",
78,"System.IO.Path.GetDirectoryName(string)",1,0,"0,11","0,00","mscorlib.dll",
79,"System.String.InternalSubStringWithChecks(int32,int32,bool)",1,0,"0,11","0,00","mscorlib.dll",
80,"System.String.InternalSubString(int32,int32,bool)",1,0,"0,11","0,00","mscorlib.dll",
81,"System.String.wstrcpy(char*,char*,int32)",1,1,"0,11","0,11","mscorlib.dll",
76,"System.Reflection.Assembly.Load(class System.Reflection.AssemblyName)",1,0,"0,11","0,00","mscorlib.dll",
77,"System.Reflection.RuntimeAssembly.InternalLoadAssemblyName(class System.Reflection.AssemblyName,class System.Security.Policy.Evidence,class System.Reflection.RuntimeAssembly,valuetype System.Threading.StackCrawlMark&,native int,bool,bool,bool)",1,0,"0,11","0,00","mscorlib.dll",
78,"System.Reflection.RuntimeAssembly.nLoad(class System.Reflection.AssemblyName,string,class System.Security.Policy.Evidence,class System.Reflection.RuntimeAssembly,valuetype System.Threading.StackCrawlMark&,native int,bool,bool,bool)",1,0,"0,11","0,00","mscorlib.dll",
79,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
80,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
81,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
82,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
83,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
84,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
85,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
86,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
87,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
88,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
89,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
90,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
91,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
92,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
93,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
94,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
95,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
96,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
97,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
98,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
99,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
100,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
101,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
102,"[clr.dll]",1,0,"0,11","0,00","clr.dll",
103,"[clr.dll]",1,1,"0,11","0,11","clr.dll",
